,fno,country,year,season,lat,long,pc,cem,ast,nplsqm,ccd,vartype,fym,n,p,k,mf,wcp,iu,hu,fu,cs,ldg,yield
360,360,IND,2012,DS,10.5482,76.9465,1,1,30,NA,109,2,0,145,38,0,183,1,3,0,1,4,0,3.7
361,361,THA,2012,WS,14.6466,100.1131,1,2,0,NA,139,2,0,96.25,38.75,18.75,153.75,2,2,2,1,5,20,4.04
362,362,THA,2012,WS,14.6461,100.1054,1,2,0,NA,48,2,0,120.12,35.88,35.88,191.88,2,4,2,4,5,25,5.2
363,363,THA,2012,WS,14.6384,100.1103,1,2,0,NA,114,2,0,96.25,31.25,25,152.5,2,2,2,2,2,0,4.39
364,364,THA,2012,WS,14.65,100.1266,1,2,0,NA,102,2,0,72.38,23.5,18.8,114.68,2,3,2,1,3,1,4.8
365,365,THA,2012,WS,14.6385,100.1107,1,2,0,NA,102,2,0,72.38,23.5,18.8,114.68,2,3,3,1,4,15,4.34
366,366,THA,2012,WS,14.6414,100.1109,1,2,0,NA,102,2,0,72.38,23.5,18.8,114.68,2,3,2,1,4,1,3.64
367,367,THA,2012,WS,14.6317,100.1165,1,2,0,NA,93,2,0,145.08,70.2,31.2,246.48,2,3,2,1,4,0,4.87
368,368,THA,2012,WS,14.6457,100.1199,1,2,0,NA,111,2,0,174.84,56.4,0,231.24,2,2,2,2,3,10,2.75
369,369,THA,2012,WS,14.6472,100.1233,1,2,0,NA,90,2,0,407.34,131.4,0,538.74,2,3,2,1,4,0,5.8
370,370,THA,2012,WS,14.6511,100.1266,1,2,0,NA,123,2,0,232.5,75,0,307.5,2,3,3,1,4,0,5.22
371,371,THA,2012,WS,14.6314,100.1155,1,2,0,NA,94,2,0,97.5,50,0,147.5,2,2,2,1,4,3,4.07
372,372,THA,2012,WS,14.6432,100.123,1,2,0,NA,93,2,0,116.25,56.25,25,197.5,2,2,2,1,4,4,4.24
373,373,THA,2012,WS,14.6406,100.1284,1,2,0,NA,127,2,0,146.64,93.6,0,240.24,2,3,2,1,3,0,3.26
374,374,THA,2012,WS,14.6508,100.1264,1,2,0,NA,100,2,0,96.25,31.25,25,152.5,2,3,2,1,3,3,3.57
375,375,THA,2012,WS,14.65,100.1269,1,2,0,NA,100,2,0,96.25,31.25,25,152.5,2,2,3,1,3,3,5.53
376,376,THA,2012,WS,14.6472,100.1235,1,2,0,NA,97,2,0,143.52,12.48,12.48,168.48,2,2,1,2,3,0,4.62
377,377,THA,2012,WS,14.6393,100.1129,1,2,0,NA,93,2,0,265.2,62.4,0,327.6,2,2,3,1,4,0,5.53
378,378,THA,2012,WS,14.6368,100.1077,1,2,0,NA,105,2,0,120.12,54.6,23.4,198.12,2,2,2,1,2,0,3.68
379,379,THA,2012,WS,14.6469,100.1226,1,2,0,NA,114,2,0,74.88,93.6,0,168.48,2,4,5,0,3,0,4.27
380,380,THA,2012,WS,14.6465,100.1219,1,2,0,NA,114,2,0,74.88,93.6,0,168.48,2,4,2,0,4,1,4.45
381,381,THA,2012,WS,14.6442,100.1174,1,2,0,NA,111,2,0,171.12,55.2,0,226.32,2,2,2,2,3,5,2.94
382,382,THA,2012,WS,14.6458,100.121,1,2,0,NA,111,2,0,174.84,56.4,0,231.24,2,2,2,2,2,5,1.31
383,383,THA,2012,WS,14.6425,100.1106,1,2,0,NA,124,2,0,96.25,31.25,25,152.5,2,2,3,1,4,15,4.09
384,384,THA,2012,WS,14.6408,100.122,1,2,0,NA,114,2,0,135,62.5,50,247.5,2,1,4,0,5,2,3.52
385,385,THA,2012,WS,14.6382,100.1261,1,2,0,NA,114,2,0,146.64,93.6,0,240.24,2,2,2,1,4,3,5.1
386,386,THA,2012,WS,14.6386,100.1108,1,2,0,NA,114,2,0,96.25,31.25,25,152.5,2,2,2,2,2,1,4.54
387,387,THA,2012,WS,14.6401,100.1156,1,2,0,NA,114,2,0,96.25,31.25,25,152.5,2,2,2,2,3,0,4.36
388,388,THA,2012,WS,14.6434,100.1232,1,2,0,NA,113,2,0,78.02,49.8,0,127.82,2,1,2,2,4,0,4.37
389,389,THA,2012,WS,14.6353,100.1145,1,2,0,NA,119,2,0,135,62.5,50,247.5,2,1,4,0,4,2,4.01
390,390,THA,2012,WS,14.6405,100.1284,1,2,0,NA,104,2,0,77.08,33.84,16.92,127.84,2,0,0,0,4,0,3.26
391,391,THA,2012,WS,14.6431,100.1225,1,2,0,NA,113,2,0,78.02,49.8,0,127.82,2,2,2,2,4,0,4.33
392,392,THA,2012,WS,14.6394,100.1179,1,2,0,NA,115,2,1,96.25,31.25,25,152.5,2,2,2,2,2,0,4.08
393,393,THA,2012,WS,14.636,100.1163,1,2,0,NA,114,2,0,81,37.5,30,148.5,2,1,4,0,3,1,4.69
394,394,THA,2012,WS,14.6411,100.111,1,2,0,NA,94,2,1,93,45,20,158,2,2,2,1,4,4,4.68
395,395,THA,2012,WS,14.6416,100.1163,1,2,0,NA,105,2,0,117,60,0,177,2,2,2,3,4,2,4.07
396,396,THA,2012,WS,14.6471,100.1232,1,2,0,NA,100,2,0,188.48,136.8,60.8,386.08,2,4,3,1,4,0,4.85
